ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
fusilli,Fusilli,ALDI,0.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
gaufres-au-sucre-au-chocolat,Gaufres au sucre au chocolat,ALDI,2.09,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
gaufres-vanille-au-cacao,Gaufres vanille au cacao,ALDI,1.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
grenadine,Grenadine,ALDI,0.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
hachis-porc-buf-prepare,Hachis porc/bœuf préparé,ALDI,4.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
bianco-delle-venezie-igt,Bianco delle Venezie IGT,ALDI,2.77,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
vigne-vecchie-ballaturi,Vigne Vecchie ‘Ballaturi’,ALDI,9.41,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
medoc-cru-bourgeois-chateau-le-bourdieu,Médoc Cru Bourgeois 'Château Le Bourdieu',ALDI,7.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
principaute-dorange-igp,Principauté d’Orange IGP,ALDI,5.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
grande-alberone-primitivo-igt-puglia,Grande Alberone Primitivo IGT Puglia,ALDI,6.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
tempranillo-garnacha-el-mojon,Tempranillo-garnacha 'El Mojón',ALDI,5.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
prosecco-rose-grande-alberone-doc,Prosecco rosé Grande Alberone DOC,ALDI,6.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
vin-rose-sicilien,Vin rosé sicilien,ALDI,4.29,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
prosecco-ballaturi,Prosecco 'Ballaturi',ALDI,6.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
rose-bio-esteban,Rosé bio 'Esteban',ALDI,4.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
vin-rouge-bio-esteban,Vin rouge bio 'Esteban',ALDI,4.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
