UID,EAN,Nome,Marca,Rayon,SousRayon,Tamanho,Imagem,Fonte,ScoreInicial
7622210100917,7622210100917,Milka galette choco,Milka,Épicerie salée,Gama,260 g,https://images.openfoodfacts.org/images/products/762/221/010/0917/front_en.114.400.jpg,OFF,10.447
8076802085738,8076802085738,Penne Rigate N°73,Barilla,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/807/680/208/5738/front_en.3506.400.jpg,OFF,10.472
5449000267412,5449000267412,COCA COLA PET 1.25L CT,Coca-Cola,Boissons,Gama,"1,25 L",https://images.openfoodfacts.org/images/products/544/900/026/7412/front_en.94.400.jpg,OFF,10.434
20005719,20005719,Pistaches de Californie,Alesto,Épicerie salée,Gama,250 g,https://images.openfoodfacts.org/images/products/000/002/000/5719/front_en.171.400.jpg,OFF,10.468
5411188115472,5411188115472,Soyamilch,ALPRO,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/541/118/811/5472/front_en.253.400.jpg,OFF,10.442
8410076610621,8410076610621,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g",General Mills France,Boissons,Gama,150 g ℮,https://images.openfoodfacts.org/images/products/841/007/661/0621/front_en.83.400.jpg,OFF,10.403
3088542506508,3088542506508,Sirop d'agave,Sunny Bio,Bio,Gama,500 g,https://images.openfoodfacts.org/images/products/308/854/250/6508/front_en.83.400.jpg,OFF,10.421
3412290070071,3412290070071,Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,Le Fromage Fouetté Madame Loïk,Crèmerie / Laticínios,Gama,320 g,https://images.openfoodfacts.org/images/products/341/229/007/0071/front_fr.52.400.jpg,OFF,10.389
7613035833272,7613035833272,Perrier,Nestlé,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/761/303/583/3272/front_en.149.400.jpg,OFF,10.398
3168930002987,3168930002987,Lay's Cuites au four nature,Lay’s,Épicerie salée,Gama,130 g,https://images.openfoodfacts.org/images/products/316/893/000/2987/front_en.134.400.jpg,OFF,10.394
3168930010906,3168930010906,Cruesli Chocolat noir,QUAKER,Boissons,Gama,450 g,https://images.openfoodfacts.org/images/products/316/893/001/0906/front_en.99.400.jpg,OFF,10.394
4000177158319,4000177158319,Multivitamin Capri-Sun,Capri-Sun,Épicerie salée,Gama,200 ml,https://images.openfoodfacts.org/images/products/400/017/715/8319/front_en.75.400.jpg,OFF,10.606
5000112611861,5000112611861,PET 1.75L COCA,Coca-Cola,Boissons,Gama,1.75 L ℮,https://images.openfoodfacts.org/images/products/500/011/261/1861/front_fr.166.400.jpg,OFF,10.371
3251491787810,3251491787810,Goûter aux raisins,Gerblé,Épicerie salée,Gama,360 g,https://images.openfoodfacts.org/images/products/325/149/178/7810/front_en.127.400.jpg,OFF,10.403
7613035866386,7613035866386,CONTREX eau minérale naturelle,Contrex,Boissons,Gama,1.5 L,https://images.openfoodfacts.org/images/products/761/303/586/6386/front_fr.271.400.jpg,OFF,10.347
8076809529433,8076809529433,Barilla Penne Rigate Fullkorn 500g,Barilla,Épicerie salée,Gama,500g,https://images.openfoodfacts.org/images/products/807/680/952/9433/front_en.397.400.jpg,OFF,10.347
8715035110304,8715035110304,Sauce soja,Kikkoman,Épicerie salée,Gama,250ml,https://images.openfoodfacts.org/images/products/871/503/511/0304/front_en.111.400.jpg,OFF,10.394
5053990107384,5053990107384,Pringles sour cream,Pringles,Épicerie salée,Gama,40g,https://images.openfoodfacts.org/images/products/505/399/010/7384/front_en.106.400.jpg,OFF,10.38
7614500010013,7614500010013,Toblerone,Tobler,Épicerie salée,Gama,100 g,https://images.openfoodfacts.org/images/products/761/450/001/0013/front_en.299.400.jpg,OFF,10.366
3017760363990,3017760363990,Heudebert Fibre +,Heudebert,Épicerie salée,Gama,280 grammes,https://images.openfoodfacts.org/images/products/301/776/036/3990/front_fr.120.400.jpg,OFF,10.352
3228857000906,3228857000906,Pain AMS complet,Harrys,Épicerie salée,Gama,600 g,https://images.openfoodfacts.org/images/products/322/885/700/0906/front_fr.1359.400.jpg,OFF,10.333
3023470001015,3023470001015,Galettes St Michel au beurre 4X5 - 130g,St michel,Épicerie salée,Gama,130 g,https://images.openfoodfacts.org/images/products/302/347/000/1015/front_fr.306.400.jpg,OFF,10.338
8445291061132,8445291061132,HEPAR,hepar 75cl,Épicerie salée,Gama,75cL,https://images.openfoodfacts.org/images/products/844/529/106/1132/front_fr.3.400.jpg,OFF,10.394
3175681116832,3175681116832,"Gerblé - Sugar Free Coconut Cookie, 132g (4.7oz)",Gerblé,Épicerie salée,Gama,132 g,https://images.openfoodfacts.org/images/products/317/568/111/6832/front_en.91.400.jpg,OFF,10.371
3033710074525,3033710074525,NESCAFÉ SPECIAL FILTRE L'Original Flacon de 200g,Nestlé,Épicerie salée,Gama,200 g,https://images.openfoodfacts.org/images/products/303/371/007/4525/front_en.196.400.jpg,OFF,10.318
7622210444141,7622210444141,Biscuits petit déjeuner moelleux aux pépites de chocolat,LU,Épicerie sucrée,Gama,250 g,https://images.openfoodfacts.org/images/products/762/221/044/4141/front_fr.146.400.jpg,OFF,10.323
7613287514325,7613287514325,Fitness Nature Céréales complètes,Nestle,Épicerie salée,Gama,475 g,https://images.openfoodfacts.org/images/products/761/328/751/4325/front_fr.166.400.jpg,OFF,10.371
3033491588136,3033491588136,HIPRO Saveur Vanille,Hipro,Épicerie salée,Gama,320g (2x160g),https://images.openfoodfacts.org/images/products/303/349/158/8136/front_fr.110.400.jpg,OFF,10.308
20656935,20656935,Pétillante saveur Citron,Lidl,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/000/002/065/6935/front_fr.93.400.jpg,OFF,10.293
7622300336738,7622300336738,Oreo Original,Mondelez,Épicerie salée,Gama,154 g,https://images.openfoodfacts.org/images/products/762/230/033/6738/front_en.343.400.jpg,OFF,10.313
8711200548002,8711200548002,mayonnaise de Dijon,amora,Épicerie salée,Gama,415 g,https://images.openfoodfacts.org/images/products/871/120/054/8002/front_fr.216.400.jpg,OFF,10.412
3168930009795,3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Muesli Croustillant,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/316/893/000/9795/front_fr.96.400.jpg,OFF,10.263
5053990127740,5053990127740,Pringles,Pringles,Épicerie salée,Gama,165g,https://images.openfoodfacts.org/images/products/505/399/012/7740/front_en.87.400.jpg,OFF,10.293
8410076801197,8410076801197,"Crunchy Oats and Dark chocolate, 2 Barres de 21 g",Nature Valley,Épicerie sucrée,Gama,42 g,https://images.openfoodfacts.org/images/products/841/007/680/1197/front_en.69.400.jpg,OFF,10.278
20019907,20019907,Succo di limone,Italiamo,Épicerie salée,Gama,200ml,https://images.openfoodfacts.org/images/products/000/002/001/9907/front_en.187.400.jpg,OFF,10.313
20416690,20416690,Iogurte Estilo Grego,Milbona,Crèmerie / Laticínios,Gama,150 gram,https://images.openfoodfacts.org/images/products/000/002/041/6690/front_en.175.400.jpg,OFF,10.288
8000500267035,8000500267035,Cacao,Kinder,Épicerie salée,Gama,39 g,https://images.openfoodfacts.org/images/products/800/050/026/7035/front_es.169.400.jpg,OFF,10.252
5411188118961,5411188118961,"Alpro Joghurtalternative auf Sojabasis, Natur mit Mandeln, 500 g, 31",Alpro,Épicerie salée,Gama,0.5 kg,https://images.openfoodfacts.org/images/products/541/118/811/8961/front_de.129.400.jpg,OFF,10.263
5411188099154,5411188099154,Alpro Plain,Alpro,Épicerie salée,Gama,100 gram,https://images.openfoodfacts.org/images/products/541/118/809/9154/front_en.180.400.jpg,OFF,10.242
